sequenceID	source.name	full_name	Species	Serotype
LP633661	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LP633662	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LP633663	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LP633664	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LP633665	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LP633666	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LP633667	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LP633668	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LP633669	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LP633670	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LP633671	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LP633672	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LP633673	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LP633674	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LP899424	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
LP901957	ncbi-nuccore-aav	Adeno-associated virus	-	-
LP901958	ncbi-nuccore-aav	Adeno-associated virus	-	-
LP901959	ncbi-nuccore-aav	Adeno-associated virus	-	-
LP901960	ncbi-nuccore-aav	Adeno-associated virus	-	-
LP901961	ncbi-nuccore-aav	Adeno-associated virus	-	-
LP901962	ncbi-nuccore-aav	Adeno-associated virus	-	-
LP901963	ncbi-nuccore-aav	Adeno-associated virus	-	-
LP901965	ncbi-nuccore-aav	Adeno-associated virus	-	-
LP901966	ncbi-nuccore-aav	Adeno-associated virus	-	-
LP901967	ncbi-nuccore-aav	Adeno-associated virus	-	-
LQ220010	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
LQ396099	ncbi-nuccore-aav	adeno-associated virus 2	DependoA	AAV2
LQ396105	ncbi-nuccore-aav	Adeno-associated virus - 6	DependoA	AAV6
LQ864733	ncbi-nuccore-aav	adeno-associated virus 2	DependoA	AAV2
LQ870089	ncbi-nuccore-aav	Adeno-associated virus - 1	DependoA	AAV1
LQ870090	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV8
LQ870099	ncbi-nuccore-aav	adeno-associated virus 2	DependoA	AAV2
LQ870100	ncbi-nuccore-aav	adeno-associated virus 2	DependoA	AAV2
LQ870114	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
LQ870116	ncbi-nuccore-aav	Adeno-associated virus	-	-
LQ870119	ncbi-nuccore-aav	Adeno-associated virus - 3	DependoA	AAV3
LQ870127	ncbi-nuccore-aav	Adeno-associated virus 3B	DependoA	AAV3
LQ870147	ncbi-nuccore-aav	Adeno-associated virus - 4	DependoA	AAV4
LQ870148	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
LQ870154	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
LQ870156	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV10
LQ870158	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV10
LQ870160	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
LQ870162	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
LQ870164	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
LQ870166	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
LQ870172	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
LQ870174	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
LQ870184	ncbi-nuccore-aav	Adeno-associated virus - 6	DependoA	AAV6
LQ870194	ncbi-nuccore-aav	adeno-associated virus 7	DependoA	AAV7
LQ870199	ncbi-nuccore-aav	adeno-associated virus 8	DependoA	AAV8
LQ870207	ncbi-nuccore-aav	Adeno-associated virus 9	DependoA	AAV9
LQ870208	ncbi-nuccore-aav	Adeno-associated virus 9	DependoA	AAV9
LQ870215	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
LQ870217	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
LQ870219	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
LQ870221	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
LQ870223	ncbi-nuccore-aav	Adeno-associated virus	-	-
LQ870226	ncbi-nuccore-aav	Adeno-associated virus	-	-
LQ870228	ncbi-nuccore-aav	Adeno-associated virus	-	-
LQ870230	ncbi-nuccore-aav	Adeno-associated virus	-	-
LQ870233	ncbi-nuccore-aav	Adeno-associated virus	-	-
LQ870235	ncbi-nuccore-aav	Adeno-associated virus	-	-
LQ870247	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
LQ870248	ncbi-nuccore-aav	Adeno-associated virus	-	-
LQ870275	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV2
LQ870276	ncbi-nuccore-aav	Adeno-associated virus	-	-
LQ870277	ncbi-nuccore-aav	Adeno-associated virus	-	-
LQ870278	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
LQ870281	ncbi-nuccore-aav	Adeno-associated virus	-	-
LQ870286	ncbi-nuccore-aav	Adeno-associated virus	-	-
LQ870287	ncbi-nuccore-aav	Adeno-associated virus	-	-
LQ870288	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV10
LQ870289	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV10
LQ870378	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
LQ870380	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
LQ870383	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV2
LQ870386	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV2
LQ870393	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
LQ870395	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
LQ870474	ncbi-nuccore-aav	Adeno-associated virus	-	-
LQ870476	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
LQ870485	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
LQ870487	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
LQ870489	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
LQ870491	ncbi-nuccore-aav	Adeno-associated virus	-	-
LQ870498	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
LQ870502	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
LQ870504	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
LQ870508	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV11
LQ870510	ncbi-nuccore-aav	Adeno-associated virus	DependoA	AAV11
LQ870512	ncbi-nuccore-aav	Adeno-associated virus	-	-
LQ870514	ncbi-nuccore-aav	Adeno-associated virus	DependoA	-
LQ870516	ncbi-nuccore-aav	Adeno-associated virus	-	-
LQ870517	ncbi-nuccore-aav	Adeno-associated virus	-	-
LQ870602	ncbi-nuccore-aav	Bovine adeno-associated virus	DependoB	BAAV
LQ999771	ncbi-nuccore-aav	adeno-associated virus 2	DependoA	AAV2
LV481285	ncbi-nuccore-aav	Adeno-associated virus	-	-
LV481286	ncbi-nuccore-aav	Adeno-associated virus	-	-
LV481287	ncbi-nuccore-aav	Adeno-associated virus	-	-
LV481288	ncbi-nuccore-aav	Adeno-associated virus	-	-
LV481289	ncbi-nuccore-aav	Adeno-associated virus	-	-
LV481290	ncbi-nuccore-aav	Adeno-associated virus	-	-
LV481291	ncbi-nuccore-aav	Adeno-associated virus	-	-
LV481292	ncbi-nuccore-aav	Adeno-associated virus	-	-
LV481293	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LV481294	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LV481295	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LV481296	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LV481297	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LV481300	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LV481303	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LV481304	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LV481305	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LV481306	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LV481307	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LV481308	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LV481309	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LV481310	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LV481311	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LV481312	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LV481315	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LV481316	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LV481317	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LV481318	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LV481319	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LV481320	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LV481321	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LV481322	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LV481323	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LV481324	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LV481325	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LV481326	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LV481327	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LV481328	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LV481329	ncbi-nuccore-aav	adeno-associated virus 2	-	-
LX153636	ncbi-nuccore-aav	Adeno-associated virus - 1	DependoA	AAV1
LX153637	ncbi-nuccore-aav	adeno-associated virus 2	DependoA	AAV2
LX153638	ncbi-nuccore-aav	Adeno-associated virus - 3	DependoA	AAV3
LX153639	ncbi-nuccore-aav	Adeno-associated virus - 4	DependoA	AAV4
LX153640	ncbi-nuccore-aav	adeno-associated virus 5	DependoB	AAV5
LX153641	ncbi-nuccore-aav	Adeno-associated virus - 6	DependoA	AAV6
LX153642	ncbi-nuccore-aav	adeno-associated virus 7	DependoA	AAV7
LX153643	ncbi-nuccore-aav	adeno-associated virus 8	DependoA	AAV8
LX153644	ncbi-nuccore-aav	Adeno-associated virus 9	DependoA	AAV9
LX153645	ncbi-nuccore-aav	adeno-associated virus 10	DependoA	AAV10
LX153646	ncbi-nuccore-aav	Adeno-associated virus 11	DependoA	AAV11
LX153647	ncbi-nuccore-aav	Adeno-associated virus 12	DependoA	AAV12
LX153648	ncbi-nuccore-aav	Adeno-associated virus 13	DependoA	-
LX153677	ncbi-nuccore-aav	Adeno-associated virus 9	DependoA	AAV9
LY408688	ncbi-nuccore-aav	Adeno-associated virus - 1	DependoA	AAV1
LY408689	ncbi-nuccore-aav	adeno-associated virus 2	DependoA	AAV2
LY408690	ncbi-nuccore-aav	Adeno-associated virus - 3	DependoA	AAV3
LY408691	ncbi-nuccore-aav	Adeno-associated virus - 4	DependoA	AAV4
LY408692	ncbi-nuccore-aav	adeno-associated virus 5	DependoB	AAV5
LY408693	ncbi-nuccore-aav	Adeno-associated virus - 6	DependoA	AAV6
LY408694	ncbi-nuccore-aav	adeno-associated virus 7	DependoA	AAV7
LY408695	ncbi-nuccore-aav	adeno-associated virus 8	DependoA	AAV8
LY408696	ncbi-nuccore-aav	Adeno-associated virus 9	DependoA	AAV9
LY408697	ncbi-nuccore-aav	adeno-associated virus 10	DependoA	AAV10
LY408698	ncbi-nuccore-aav	Adeno-associated virus 11	DependoA	AAV11
LY408699	ncbi-nuccore-aav	Adeno-associated virus 12	DependoA	AAV12
LY408700	ncbi-nuccore-aav	Adeno-associated virus 13	DependoA	-
LY408729	ncbi-nuccore-aav	Adeno-associated virus 9	DependoA	AAV9
LY833184	ncbi-nuccore-aav	adeno-associated virus 2	DependoA	AAV2
LY833195	ncbi-nuccore-aav	Adeno-associated virus 3B	DependoA	AAV3
LY833207	ncbi-nuccore-aav	Adeno-associated virus - 4	DependoA	AAV4
LY833223	ncbi-nuccore-aav	Adeno-associated virus - 6	DependoA	AAV6
LY833226	ncbi-nuccore-aav	adeno-associated virus 7	DependoA	AAV7
LY833230	ncbi-nuccore-aav	adeno-associated virus 8	DependoA	AAV8
LY833234	ncbi-nuccore-aav	Adeno-associated virus 9	DependoA	AAV9
LY833235	ncbi-nuccore-aav	Adeno-associated virus 9	DependoA	AAV9
LY833411	ncbi-nuccore-aav	Bovine adeno-associated virus	DependoB	BAAV
LZ233295	ncbi-nuccore-aav	Adeno-associated virus - 1	DependoA	AAV1
LZ233296	ncbi-nuccore-aav	Adeno-associated virus - 3	DependoA	AAV3
LZ233297	ncbi-nuccore-aav	Adeno-associated virus - 4	DependoA	AAV4
LZ233298	ncbi-nuccore-aav	adeno-associated virus 5	DependoB	AAV5
LZ990128	ncbi-nuccore-aav	adeno-associated virus 2	DependoA	AAV2
MA345021	ncbi-nuccore-aav	Adeno-associated virus	-	-
MA345022	ncbi-nuccore-aav	Adeno-associated virus	-	-
MA345023	ncbi-nuccore-aav	Adeno-associated virus	-	-
MA345024	ncbi-nuccore-aav	Adeno-associated virus	-	-
MA345025	ncbi-nuccore-aav	Adeno-associated virus	-	-
